Job_title,Employer,City,Contract,Position,Mode,Recrutation,Required_technologies,Optional_technologies,Responsibilities,Requirement
Data Analyst,UPM Kymmene Sp. z o.o.,Wrocław,['contract of employment'],"['specialist (Mid / Regular)', 'junior specialist (Junior)']",['hybrid work'],['remote recruitment'],"['PowerBI', 'Tableau', 'SQL', 'Python', 'DAX']",,"['Develop and maintain automated dashboards, metric reports and data visualizations', 'Maintain and re-engineer existing ETLs to increase accuracy, stability and efficiency', 'Automate processes with Power Platform - Power Apps and Power Automate', 'Support management team with in-depth analytics and insights', 'Locate and define new process improvement opportunities', 'Work closely with our IT department to design and maintain data analytics architecture']","['You have good understanding of business and data architecture', 'You have a positive and proactive attitude towards changing environment', 'You are fluent in English and have experience from multi-national and diverse business environment', 'You have strong numerical skills and attention to detail', 'You are expert in PowerBI or Tableau and storytelling through data visualizations', 'You have experience in working with ETL tools – Lavastorm, Data360 Analyze, Azure Data Factory', 'You are interested in data science and want to develop in this area', 'You have hands on experience with python, SQL and DAX', 'You have basic understanding of PowerApps formulas and development methods to develop canvas and model driven apps']"
Developer Python ,IDEA commerce S.A. ,Bydgoszcz,"['umowa o pracę', 'kontrakt B2B']","['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']","['praca stacjonarna', 'praca zdalna', 'praca hybrydowa']",['rekrutacja zdalna'],['Python'],"['HTML', 'CSS', 'JavaScript']","['rozwijanie istniejących systemów e-commerce', 'analityka, projektowanie i implementacja systemów informatycznych', 'dokumentowanie kodu', 'dbanie o wysoką jakość tworzonych rozwiązań']","['znajomość języka Python', 'umiejętność pisania czytelnego kodu', 'znajomość systemu kontroli wersji', 'duża samodyscyplina i odpowiedzialność', 'umiejętność pracy w zespole', 'pozytywne nastawienie', 'znajomość HTML/CSS/JS', 'znajomość wzorców projektowych', 'znajomość procesów biznesowych', 'znajomość systemów crm/erp (w tym odoo)']"
Młodszy Konsultant SAP ds. Integracji - Płatny Staż,SYGEON sp. z o.o.,Poznań,"['umowa o pracę', 'umowa zlecenie', 'kontrakt B2B', 'umowa o staż / praktyki']",['młodszy specjalista (Junior)'],"['praca stacjonarna', 'praca hybrydowa']",,['SAP'],"['SQL', 'Java', 'JavaScript', 'C#', 'C++', 'Python']","['Ciągła nauka ze wszystkich dostępnych źródeł;', 'Realizacja zaprojektowanych rozwiązań integracyjnych dla systemów SAP;', 'Aktywne uczestnictwo w autorskich szkoleniach: (Programowanie w języku ABAP; Rozwój i obsługa systemu SAP PI/PO; Programowanie w języku Python; Certyfikowane szkolenie Mulesoft)', 'Analiza wymagań biznesowych i projektowanie koncepcji modelu rozwiązania we współpracy z zespołem projektowym;', 'Nauka konfiguracji systemu zgodnie z ustalonymi założeniami;', 'Wsparcie zespołu w realizacji codziennych zadań związanych z analizą, budową i testowaniem aplikacji;', 'Systematyzacja zdobywanej wiedzy.']","['Znajomość języka angielskiego (B1/B2);', 'Umiejętność programowania, minimum w jednym z wymienionych języków programowania (ABAP, Java, C#, C++,Python, JavaScript, Visual Basic – VBS/VB.NET);', 'Zaangażowanie i chęć nauki;', 'Zdolność do szybkiego przyswajania wiedzy;', 'Samodzielność i umiejętność analitycznego myślenia.', 'Preferowane wyższe wykształcenie;', 'Znajomość i rozumienie procesów biznesowych.', 'Znajomość baz danych oraz języka SQL;', 'Doświadczenie przy pracy z systemami ERP (SAP, Microsoft, Oracle);', 'Znajomość innych języków obcych;', 'Doświadczenie w pracy w innej organizacji;']"
Tester oprogramowania ,Currenda Sp. z o. o.,Sopot,"['umowa o pracę', 'kontrakt B2B']",['młodszy specjalista (Junior)'],"['praca zdalna', 'praca hybrydowa']",['rekrutacja zdalna'],['MS SQL'],"['Jira', 'Python', 'TestComplete']","['Analiza wymagań oraz tworzenie scenariuszy testowych;', 'Przygotowywanie danych testowych;', 'Wykonywanie testów zgodnie z przygotowanymi scenariuszami testowymi;', 'Raportowanie wyników testów;', 'Opracowywanie dokumentacji technicznej oraz instrukcji użytkownika;', 'Automatyzacja procesu testowego z wykorzystaniem języka Python i narzędzia TestComplete.']","['Praktyczna znajomość relacyjnych baz danych (MSSQL);', 'Wiedza z zakresu metodyki testowania oprogramowania;', 'Komunikatywność;', 'Skrupulatność;', 'Zdolność analitycznego myślenia.', 'Roczne doświadczenie zawodowe w obszarze testowania aplikacji desktopowych;', 'Chęć rozwoju w kierunku automatyzacji testów;', 'Znajomość w stopniu podstawowym narzędzia TestComplete oraz Python;', 'Certyfikat ISTQB;', 'Doświadczenie w pracy w zespole w zespole Scrum’owym;', 'Znajomość aplikacji do zarządzania projektami JIRA.']"
Tester oprogramowania ,Currenda Sp. z o. o.,Sopot,"['umowa o pracę', 'kontrakt B2B']",['młodszy specjalista (Junior)'],"['praca zdalna', 'praca hybrydowa']",['rekrutacja zdalna'],"['MS SQL', 'PostgreSQL']","['TestComplete', 'Git', 'Python', 'Rest Assured']","['Analiza wymagań i tworzenie przypadków testowych', 'Analiza i raportowanie błędów;', 'Tworzenie dokumentacji technicznej oraz instrukcji dla użytkowników;', 'Tworzenie i wykonywanie scenariuszy do testów regresji;', 'Ścisła współpraca z developerami i biznesem w ramach zespołu oraz organizacji;', 'Współpraca z działem Helpdesk;', 'Współudział w tworzeniu testów automatycznych w narzędziu TestComplete.']","['Min. rok doświadczenia komercyjnego na podobnym stanowisku;', 'Praktyczna znajomość MS SQL i PostgreSQL;', 'Doświadczenie w testowaniu aplikacji desktopowych i webowych;', 'Umiejętność pracy w zespole;', 'Komunikatywność;', 'Skrupulatność oraz zaangażowanie.', 'Certyfikat ISTQB;', 'Znajomość narzędzia TestComplete;', 'Znajomość w stopniu podstawowym: GIT, Python, Rest Assured.']"
Data Scientist,PROVIDENT Polska,Warszawa,['contract of employment'],"['specialist (Mid / Regular)', 'junior specialist (Junior)']",['hybrid work'],['remote recruitment'],"['R', 'Python', 'SQL']",,"['Discover relationships between data and various aspects of performance', 'Work with the International Personal Finance Group to create a broader group strategy and approach towards the application and use of ‘Big Data’, machine learning and other forms of artificial intelligence', 'Proactively develop and maintain relationships with key internal and external stakeholders', 'Set up the appropriate systems, mechanisms and processes for testing data sets and for gaining actionable analytical insights.']","['MSc degree in the field of Computer Science, Applied Statistics, Mathematics, Operations Research, or another quantitative discipline', 'Significant experience in working with large and varied data sets obtained from multiple sources (including new digital sources)', 'Experience in statistical modelling and/or machine learning', 'Experience in applying data science methods to business problems and curiosity to understand what data can tell', 'Programming experience in R or Python (Essential)', 'Knowledge of database architecture (SQL)', 'Presentation and communication skills, with a knack for explaining complex analytical concepts to people from other fields', 'Fluency in verbal and written business English', 'Ability to travel internationally']"
OSD Linux Developer for Bosch,BSH SPRZĘT GOSPODARSTWA DOMOWEGO sp. z o.o.,Łódź,['contract of employment'],"['specialist (Mid / Regular)', 'junior specialist (Junior)']",['hybrid work'],['remote recruitment'],,,"['Technical development of Ubuntu-based Desktop OS distribution for Bosch associates, state-of-the-art Linux development', 'Developing compliance, security and enterprise-related functionalities (e.g. integration into Active Directory or infrastructure)', 'Pre-installing & pre-configuring developer environments and configuration management via Ansible', 'Envisioning of the technical roadmap, developing & leading solutions in cooperation with the global team']","['Strong proficiency in high level scripting language: Python and Bash', 'Deep Linux OS (Ubuntu) knowledge (Kernel, File systems, Device drivers, Networking, Security, User interface, Daemons, cron-jobs, etc.)', 'Good knowledge with: Docker, Virtualization tools, Jenkins and CI/CD concepts.', 'Knowledge on Debian packaging, Git, SSH, DNS, Proxy, TCP/IP, DMZ, Enterprise Networking', 'Good proficiency and experience working with Ansible', 'DevOps experience and familiar with Agile methodologies']"
System Engineer,AVSystem,Kraków,['B2B contract'],"['specialist (Mid / Regular)', 'junior specialist (Junior)']",['hybrid work'],['remote recruitment'],,,"['Cooperation with the client to configure system and test devices.', 'Gathering customer requirements and feedback', 'Implementation of customer requirements through system configuration.', 'Solution presentation to prospective customers (remote or physical meeting)', 'Technically support the sales process up to the point where the contract is signed.', 'Technical Proof of Concept setup and coordination', 'Helping customers to facilitate their smooth onboarding with our system', 'Conducting training and providing answers in regards to the IoT protocol and solutions', 'Updating the configuration in the repository.', 'Scripting and automating administrative tasks.', 'Testing and integration of new IoT devices.']","['Knowledge of computer networks and tools (wireshark, tcpdump)', 'Being able to use a Linux-based system (e.g. Ubuntu, Debian)', 'A minimum of one year of work experience in IT industry', 'Fluent communication skills in Polish and English (both written and spoken)', 'At least one scripting language (basic Bash or Python)', 'Version control system (e.g. Git)', 'Cisco CCNA, CCNP courses', 'Experience in working with a foreign client', 'Knowledge of IoT protocols', 'Familiarity with Kubernetes or Docker']"
Junior Data Scientist (Pion Operacji),ING Bank Śląski S.A.,Katowice,['umowa o pracę'],['młodszy specjalista (Junior)'],['praca hybrydowa'],['rekrutacja zdalna'],,,"['Tworzenie i wdrażanie modeli uczenia maszynowego (predykcyjnych, segmentacyjnych, klasyfikacyjnych itp.)', 'Gromadzenie danych z różnych źródeł i przetwarzanie ich na potrzeby budowy rozwiązań ML', 'Rekomendacja najlepszych algorytmów w oparciu o analizę badanego zadania/zjawiska', 'Wykorzystywanie technik analitycznych i statystycznych w celu optymalizacji procesów operacyjnych', 'Uczestnictwo w projektach wdrażających nowe narzędzia raportowe i analityczne']","['Wykształcenie wyższe, preferowane kierunki: statystyka, metody ilościowe, matematyka, ekonometria, informatyka', 'Znajomość zagadnień z zakresu statystyki, machine learning, Data Science', 'Dobra znajomość języka programowania Python', 'Znajomość środowiska GIT', 'Praktyczna znajomość algorytmów uczenia maszynowego', 'Umiejętność pracy z dużymi zbiorami danych', 'Umiejętność pracy w zespole', 'Kreatywność', 'Komunikatywność', 'Znajomość języka angielskiego (min. B1)', 'Znajomość tematyki BigData: Spark/Hive/Hadoop', 'Znajomość narzędzia SAS']"
Inżynier Elektronik Aplikacji - Tester Oprogramowania,Aldec-ADT Sp. z o.o.,Katowice,['umowa o pracę'],"['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']","['praca stacjonarna', 'praca zdalna', 'praca hybrydowa']",,,,"['Do zadań stawianych przed inżynierami elektronikami pracującymi w naszej firmie należy ewaluacja nowych technologii projektowania scalonych układów cyfrowych, opracowanie specyfikacji dla nowych elementów funkcjonalnych oprogramowania oraz kontrola i weryfikacja poprawności ich realizacji.', '', 'Istotnym elementem pracy jest analiza i tworzenie nowych projektów testowych oraz metod automatyzacji kontroli jakości.']","['znajomość języków opisu sprzętu: VHDL lub Verilog® HDL lub SystemVerilog®', 'znajomość technologii cyfrowych układów logicznych', 'znajomość C/C++ oraz bibliotek SystemC, SCV i TLM będzie plusem', 'wykształcenie wyższe, lub w trakcie studiów', 'mile widziana znajomość produktów firmy Aldec', 'umiejętność posługiwania się językami Perl, Python lub Tcl/Tk jest dodatkowym atutem']"
Analityczka/Analityk w dziale Ekspansji,Żabka Polska,Poznań,['umowa o pracę'],"['specjalista (Mid / Regular)', 'młodszy specjalista (Junior)']",['praca hybrydowa'],,,,"['współudział w projektowaniu systemów analitycznych wspierających działania Departamentu Ekspansji,', 'odpowiedzialność za automatyzację procesów biznesowych', 'generowanie i przetwarzanie baz danych, a także opracowywanie raportów wspierających decyzje w obszarze ekspansji,', 'kontrola procesów ekspansji, nadzór nad prawidłowością działania systemów procesowych,', 'wykonywanie analiz statystycznych i przestrzennych i wizualizacja wyników m.in. na platformie Power BI.\u200b']","['doświadczenie w tworzeniu raportów, prezentacji oraz interpretacji wyników,', 'wykształcenie wyższe (kierunki: ekonomiczne, informatyczne, matematyczne, geograficzne),', 'minimum roczne doświadczenie na podobnym stanowisku,', 'znajomości zagadnień bazodanowych (znajomości języka SQL - poziom podstawowy)', 'podstawowa znajomość platformy Power BI mile widziane', 'znajomość podstaw programowania będzie dodatkowym atutem (Python, R)', 'znajomość zagadnień/systemów GIS będzie dodatkowym atutem (QGIS, ArcGIS)', 'praktyczna umiejętności wykorzystania Excela jako narzędzia w codziennej pracy,', 'świetna organizacja czasu pracy, orientacja na cele i wyniki,', 'zdolności interpersonalne i asertywność.']"
Młodszy Projektant rozwiązań RPA (Robotic Process Automation),Morele.net Sp. z o.o.,Kraków,['umowa zlecenie'],['młodszy specjalista (Junior)'],"['praca zdalna', 'praca hybrydowa']",['rekrutacja zdalna'],['Python'],,"['programowanie robotów z wykorzystaniem języka Python (selenium, PyAutoGUI)', 'tworzenie rozwiązań Excel, VBA', 'proponowanie rozwiązań, analiza oraz projektowanie robotów']","['posiadasz umiejętność programowania w dowolnym języku', 'masz min. 1 rok doświadczenia na podobnym stanowisku lub jesteś studentem informatyki/matematyki/fizyki i pokrewnych i dopiero chcesz je zdobyć', 'komunikatywność to Twoja mocna strona – świetnie czujesz się w zadaniach wymagających współpracy z innymi działami', 'jesteś nastawiony na dalszy rozwój i otwarty/a na nowe wyzwania – cechuje Cię ciekawość procesów i zagadnień związanych z automatyzacją w różnych obszarach: logistyka, księgowość, marketing, zakupy', 'odznaczasz się umiejętnością szybkiego uczenia się, dokładnością oraz samodzielnością']"
